section,subsection,label,field_key,field_type,finding_code,default_bucket
SECTION 2 | Supply & Distribution – Visual Inspection (Mandatory),Photo Record Requirements,Overall switchboard,s_2__photo_record_requirements__overall_switchboard,boolean,OVERALL_SWITCHBOARD,PLAN_MONITOR
SECTION 2 | Supply & Distribution – Visual Inspection (Mandatory),Photo Record Requirements,Main switch & service fuse,s_2__photo_record_requirements__main_switch_service_fuse,boolean,MAIN_SWITCH_SERVICE_FUSE,PLAN_MONITOR
SECTION 2 | Supply & Distribution – Visual Inspection (Mandatory),Photo Record Requirements,MEN link,s_2__photo_record_requirements__men_link,boolean,MEN_LINK,PLAN_MONITOR
SECTION 2 | Supply & Distribution – Visual Inspection (Mandatory),Photo Record Requirements,Damage / corrosion / overheating,s_2__photo_record_requirements__damage_corrosion_overheating,boolean,DAMAGE_CORROSION_OVERHEATING,IMMEDIATE
SECTION 2 | Supply & Distribution – Visual Inspection (Mandatory),Photo Record Requirements,Asbestos suspected backboard,s_2__photo_record_requirements__asbestos_suspected_backboard,boolean,ASBESTOS_SUSPECTED_BACKBOARD,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Power point present,s_3__3_1_power_points__power_point_present,boolean,POWER_POINT_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Power point moves when lightly touched,s_3__3_1_power_points__power_point_moves_when_lightly_touched,boolean,POWER_POINT_MOVES_WHEN_LIGHTLY_TOUCHED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Cracks visible on faceplate,s_3__3_1_power_points__cracks_visible_on_faceplate,boolean,CRACKS_VISIBLE_ON_FACEPLATE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Burn marks visible,s_3__3_1_power_points__burn_marks_visible,boolean,BURN_MARKS_VISIBLE,IMMEDIATE
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Plug disengages under its own weight,s_3__3_1_power_points__plug_disengages_under_its_own_weight,boolean,PLUG_DISENGAGES_UNDER_ITS_OWN_WEIGHT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Switch movement uneven or obstructed,s_3__3_1_power_points__switch_movement_uneven_or_obstructed,boolean,SWITCH_MOVEMENT_UNEVEN_OR_OBSTRUCTED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Earth pin missing or damaged (if applicable),s_3__3_1_power_points__earth_pin_missing_or_damaged,boolean,EARTH_PIN_MISSING_OR_DAMAGED,IMMEDIATE
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Surface feels abnormally warm to touch (photograph item),s_3__3_1_power_points__surface_feels_abnormally_warm_to_touch,boolean,SURFACE_FEELS_ABNORMALLY_WARM_TO_TOUCH,IMMEDIATE
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Horizontal distance from power point edge to sink/tap edge measured: ____ mm,s_3__3_1_power_points__horizontal_distance_from_power_point_edge_to_sink_tap_edge_measured_mm,number_or_text,HORIZONTAL_DISTANCE_FROM_POWER_POINT_EDGE_TO_SINK_TAP_EDGE_MEASURED_MM,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Extension lead connected at time of inspection,s_3__3_1_power_points__extension_lead_connected_at_time_of_inspection,boolean,EXTENSION_LEAD_CONNECTED_AT_TIME_OF_INSPECTION,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.1 Power Points (All Areas),Unable to confirm,s_3__3_1_power_points__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Switch plate cracked or damaged,s_3__3_2_lighting_switches__switch_plate_cracked_or_damaged,boolean,SWITCH_PLATE_CRACKED_OR_DAMAGED,IMMEDIATE
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Switch body moves when touched,s_3__3_2_lighting_switches__switch_body_moves_when_touched,boolean,SWITCH_BODY_MOVES_WHEN_TOUCHED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,"Unusual audible sound heard during operation (e.g., buzz, crackle)",s_3__3_2_lighting_switches__unusual_audible_sound_heard_during_operation,boolean,UNUSUAL_AUDIBLE_SOUND_HEARD_DURING_OPERATION,IMMEDIATE
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Light fitting moves when lightly touched,s_3__3_2_lighting_switches__light_fitting_moves_when_lightly_touched,boolean,LIGHT_FITTING_MOVES_WHEN_LIGHTLY_TOUCHED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Heat damage visible on fitting or ceiling,s_3__3_2_lighting_switches__heat_damage_visible_on_fitting_or_ceiling,boolean,HEAT_DAMAGE_VISIBLE_ON_FITTING_OR_CEILING,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Lamp type observed: ☐ LED ☐ Halogen ☐ Incandescent,s_3__3_2_lighting_switches__lamp_type_observed_led_halogen_incandescent,boolean,LAMP_TYPE_OBSERVED_LED_HALOGEN_INCANDESCENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Bare metal wire core is visible (photograph),s_3__3_2_lighting_switches__bare_metal_wire_core_is_visible,boolean,BARE_METAL_WIRE_CORE_IS_VISIBLE,IMMEDIATE
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.2 Lighting & Switches,Unable to confirm,s_3__3_2_lighting_switches__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Oven present,s_3__3_3_kitchen_fixed_installations__oven_present,boolean,OVEN_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Cooktop present,s_3__3_3_kitchen_fixed_installations__cooktop_present,boolean,COOKTOP_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Dishwasher present,s_3__3_3_kitchen_fixed_installations__dishwasher_present,boolean,DISHWASHER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Dedicated outlet or isolator visible,s_3__3_3_kitchen_fixed_installations__dedicated_outlet_or_isolator_visible,boolean,DEDICATED_OUTLET_OR_ISOLATOR_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Supply cable located within ____ mm of cooktop surface,s_3__3_3_kitchen_fixed_installations__supply_cable_located_within_mm_of_cooktop_surface,number_or_text,SUPPLY_CABLE_LOCATED_WITHIN_MM_OF_COOKTOP_SURFACE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Number of power points above bench: ____,s_3__3_3_kitchen_fixed_installations__number_of_power_points_above_bench,number_or_text,NUMBER_OF_POWER_POINTS_ABOVE_BENCH,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Horizontal distance from power point to sink edge: ____ mm,s_3__3_3_kitchen_fixed_installations__horizontal_distance_from_power_point_to_sink_edge_mm,number_or_text,HORIZONTAL_DISTANCE_FROM_POWER_POINT_TO_SINK_EDGE_MM,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Range hood present,s_3__3_3_kitchen_fixed_installations__range_hood_present,boolean,RANGE_HOOD_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Grease residue observed on rangehood filter/cover (photograph),s_3__3_3_kitchen_fixed_installations__grease_residue_observed_on_rangehood_filter_cover,boolean,GREASE_RESIDUE_OBSERVED_ON_RANGEHOOD_FILTER_COVER,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.3 Kitchen – Fixed Installations,Unable to confirm,s_3__3_3_kitchen_fixed_installations__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.4 Bathrooms & Damp Areas,Power point present in bathroom,s_3__3_4_bathrooms_damp_areas__power_point_present_in_bathroom,boolean,POWER_POINT_PRESENT_IN_BATHROOM,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.4 Bathrooms & Damp Areas,Light fitting present above bath/shower,s_3__3_4_bathrooms_damp_areas__light_fitting_present_above_bath_shower,boolean,LIGHT_FITTING_PRESENT_ABOVE_BATH_SHOWER,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.4 Bathrooms & Damp Areas,Exhaust fan present,s_3__3_4_bathrooms_damp_areas__exhaust_fan_present,boolean,EXHAUST_FAN_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.4 Bathrooms & Damp Areas,Heated towel rail present,s_3__3_4_bathrooms_damp_areas__heated_towel_rail_present,boolean,HEATED_TOWEL_RAIL_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.4 Bathrooms & Damp Areas,Moisture staining visible (photo reference),s_3__3_4_bathrooms_damp_areas__moisture_staining_visible,boolean,MOISTURE_STAINING_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.4 Bathrooms & Damp Areas,Unable to confirm,s_3__3_4_bathrooms_damp_areas__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Washing machine outlet present,s_3__3_5_laundry__washing_machine_outlet_present,boolean,WASHING_MACHINE_OUTLET_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Dryer outlet present,s_3__3_5_laundry__dryer_outlet_present,boolean,DRYER_OUTLET_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Outlet height above finished floor: ____ mm,s_3__3_5_laundry__outlet_height_above_finished_floor_mm,number_or_text,OUTLET_HEIGHT_ABOVE_FINISHED_FLOOR_MM,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Water tap present within ____ mm of outlet,s_3__3_5_laundry__water_tap_present_within_mm_of_outlet,number_or_text,WATER_TAP_PRESENT_WITHIN_MM_OF_OUTLET,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Extension lead connected at time of inspection,s_3__3_5_laundry__extension_lead_connected_at_time_of_inspection,boolean,EXTENSION_LEAD_CONNECTED_AT_TIME_OF_INSPECTION,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Unable to confirm,s_3__3_5_laundry__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Roof space accessed,s_3__3_6_roof_space_ceiling__roof_space_accessed,boolean,ROOF_SPACE_ACCESSED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Cable support method observed: clips / resting / buried,s_3__3_6_roof_space_ceiling__cable_support_method_observed_clips_resting_buried,boolean,CABLE_SUPPORT_METHOD_OBSERVED_CLIPS_RESTING_BURIED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Insulation contact observed,s_3__3_6_roof_space_ceiling__insulation_contact_observed,boolean,INSULATION_CONTACT_OBSERVED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Cable with non‑modern (non‑PVC) insulation observed (photograph),s_3__3_6_roof_space_ceiling__cable_with_non_modern_insulation_observed,boolean,CABLE_WITH_NON_MODERN_INSULATION_OBSERVED,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Taped connection (non‑box) visible (photograph),s_3__3_6_roof_space_ceiling__taped_connection_visible,boolean,TAPED_CONNECTION_VISIBLE,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Transformer present,s_3__3_6_roof_space_ceiling__transformer_present,boolean,TRANSFORMER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Transformer resting on insulation,s_3__3_6_roof_space_ceiling__transformer_resting_on_insulation,boolean,TRANSFORMER_RESTING_ON_INSULATION,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Not accessed (reason recorded),s_3__3_6_roof_space_ceiling__not_accessed,boolean,NOT_ACCESSED,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Outdoor power point present,s_3__3_7_exterior_garage__outdoor_power_point_present,boolean,OUTDOOR_POWER_POINT_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Weatherproof cover present,s_3__3_7_exterior_garage__weatherproof_cover_present,boolean,WEATHERPROOF_COVER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Cover broken or missing,s_3__3_7_exterior_garage__cover_broken_or_missing,boolean,COVER_BROKEN_OR_MISSING,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Exterior light present,s_3__3_7_exterior_garage__exterior_light_present,boolean,EXTERIOR_LIGHT_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Garage door opener present,s_3__3_7_exterior_garage__garage_door_opener_present,boolean,GARAGE_DOOR_OPENER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Flexible lead fixed in place with clips/screws,s_3__3_7_exterior_garage__flexible_lead_fixed_in_place_with_clips_screws,boolean,FLEXIBLE_LEAD_FIXED_IN_PLACE_WITH_CLIPS_SCREWS,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Unable to confirm,s_3__3_7_exterior_garage__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Smoke alarm present,s_3__3_8_smoke_alarms__smoke_alarm_present,boolean,SMOKE_ALARM_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Location photographed,s_3__3_8_smoke_alarms__location_photographed,boolean,LOCATION_PHOTOGRAPHED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Type observed: photoelectric / ionisation / unknown,s_3__3_8_smoke_alarms__type_observed_photoelectric_ionisation_unknown,boolean,TYPE_OBSERVED_PHOTOELECTRIC_IONISATION_UNKNOWN,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Unit tested as interconnected (pressing test button on one activates others),s_3__3_8_smoke_alarms__unit_tested_as_interconnected,boolean,UNIT_TESTED_AS_INTERCONNECTED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Test button pressed,s_3__3_8_smoke_alarms__test_button_pressed,boolean,TEST_BUTTON_PRESSED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Alarm sounded,s_3__3_8_smoke_alarms__alarm_sounded,boolean,ALARM_SOUNDED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Manufacture date recorded: ____,s_3__3_8_smoke_alarms__manufacture_date_recorded,number_or_text,MANUFACTURE_DATE_RECORDED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Power source observed: mains / battery / both,s_3__3_8_smoke_alarms__power_source_observed_mains_battery_both,boolean,POWER_SOURCE_OBSERVED_MAINS_BATTERY_BOTH,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Unable to confirm,s_3__3_8_smoke_alarms__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Ceramic fuse holder visible,s_3__3_9_general_observations__ceramic_fuse_holder_visible,boolean,CERAMIC_FUSE_HOLDER_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Bakelite or ceramic accessory visible,s_3__3_9_general_observations__bakelite_or_ceramic_accessory_visible,boolean,BAKELITE_OR_CERAMIC_ACCESSORY_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Non‑standard wiring or added component observed (photograph),s_3__3_9_general_observations__non_standard_wiring_or_added_component_observed,boolean,NON_STANDARD_WIRING_OR_ADDED_COMPONENT_OBSERVED,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Number of power boards observed: ____,s_3__3_9_general_observations__number_of_power_boards_observed,number_or_text,NUMBER_OF_POWER_BOARDS_OBSERVED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Cable damage visible,s_3__3_9_general_observations__cable_damage_visible,boolean,CABLE_DAMAGE_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Unable to confirm,s_3__3_9_general_observations__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
"SECTION 6 | Exceptions, Client Statements & Completion",,All checklist items completed,s_6__general__all_checklist_items_completed,boolean,ALL_CHECKLIST_ITEMS_COMPLETED,PLAN_MONITOR
"SECTION 6 | Exceptions, Client Statements & Completion",,All required photos uploaded,s_6__general__all_required_photos_uploaded,boolean,ALL_REQUIRED_PHOTOS_UPLOADED,PLAN_MONITOR
"SECTION 6 | Exceptions, Client Statements & Completion",,No advice or quotations provided,s_6__general__no_advice_or_quotations_provided,boolean,NO_ADVICE_OR_QUOTATIONS_PROVIDED,RECOMMENDED
